st	st_complex	n	dominant_species	pct_dominant_species	species_code	dominant_l3	pct_dominant_l3	proposed_alias
ST152	-	30350	Shigella sonnei	99.8	Ss	0-2-0	99.8	Ss ST152
ST245	-	20150	Shigella flexneri	99.9	Sf	0-3-0	100.0	Sf ST245
ST10	-	9156	-	92.5	-	0-0-0	98.6	- ST10
ST131	-	8890	-	99.9	-	0-4-0	99.3	- ST131
ST11	-	6677	EHEC	96.5	EHEC	0-5-0	96.4	EHEC ST11
ST21	ST29 Cplx	4137	EHEC	95.5	EHEC	0-0-1	97.1	EHEC ST21
ST17	ST20 Cplx	3053	EHEC	97.6	EHEC	0-0-2	97.8	EHEC ST17
ST69	-	2356	-	98.7	-	0-0-3	98.9	- ST69
ST38	-	2145	-	99.5	-	0-0-5	99.7	- ST38
ST73	-	1985	-	99.9	-	0-1-0	98.1	- ST73
ST95	-	1842	-	99.9	-	0-1-1	99.0	- ST95
ST16	ST29 Cplx	1705	EHEC	99.3	EHEC	0-0-1	96.3	EHEC ST16
ST93	ST168 Cplx	1556	-	99.7	-	0-0-0	99.4	- ST93
ST145	-	1481	Shigella flexneri	70.0	Sf	0-6-0	99.8	Sf ST145
ST58	-	1188	-	95.4	-	0-0-0	99.7	- ST58
ST1193	-	1130	-	99.9	-	0-1-2	99.8	- ST1193
ST648	-	1092	-	99.9	-	0-8-0	98.2	- ST648
ST410	-	1063	-	98.9	-	0-0-0	99.3	- ST410
ST117	-	1057	-	97.3	-	0-0-6	98.8	- ST117
ST167	-	963	-	99.9	-	0-0-0	99.8	- ST167
ST155	-	950	-	92.9	-	0-0-0	99.6	- ST155
ST405	-	927	-	100.0	-	0-0-9	98.7	- ST405
ST48	-	813	-	94.5	-	0-0-0	99.5	- ST48
ST32	-	803	EHEC	95.9	EHEC	0-7-0	97.6	EHEC ST32
ST23	-	777	-	90.5	-	0-0-0	99.1	- ST23
ST12	-	728	-	100.0	-	0-1-3	98.8	- ST12
ST101	-	694	-	84.1	-	0-0-0	98.4	- ST101
ST88	-	684	-	90.8	-	0-0-0	99.0	- ST88
ST655	-	684	EHEC	97.2	EHEC	0-0-4	96.1	EHEC ST655
ST127	-	621	-	100.0	-	0-1-4	98.7	- ST127
ST243	-	560	Shigella boydii	97.3	Sb	0-6-0	98.6	Sb ST243
ST1025	-	537	Shigella flexneri	100.0	Sf	0-3-0	100.0	Sf ST1025
ST162	-	520	-	91.7	-	0-0-0	100.0	- ST162
ST46	-	461	-	97.6	-	0-0-0	99.6	- ST46
ST442	-	461	STEC	80.9	STEC	0-0-0	99.8	STEC ST442
ST6	-	443	EIEC	100.0	EIEC	0-0-0	96.8	EIEC ST6
ST617	-	441	-	99.8	-	0-0-0	98.0	- ST617
ST744	-	413	-	100.0	-	0-0-0	98.1	- ST744
ST354	-	410	-	100.0	-	0-0-12	99.0	- ST354
ST29	-	380	EPEC	51.3	EPEC	0-0-1	98.7	EPEC ST29
ST630	-	367	Shigella flexneri	100.0	Sf	0-3-0	99.7	Sf ST630
ST141	-	364	-	96.4	-	0-1-5	99.2	- ST141
ST156	-	358	-	98.0	-	0-0-0	98.3	- ST156
ST148	-	357	Shigella dysenteriae	99.4	Sd	0-6-1	99.7	Sd ST148
ST3	-	352	EPEC	99.7	EPEC	0-0-2	99.4	EPEC ST3
ST1967	-	348	EHEC	100.0	EHEC	0-0-2	94.3	EHEC ST1967
ST224	-	345	-	96.5	-	0-0-0	100.0	- ST224
ST349	-	334	-	97.3	-	0-13-0	100.0	- ST349
ST44	-	331	-	100.0	-	0-0-0	98.2	- ST44
ST146	-	327	Shigella dysenteriae	100.0	Sd	0-36-0	100.0	Sd ST146
